/root/miniconda3/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: '/root/miniconda3/lib/python3.10/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
Model Params: 63.91M
Trainable Params: 63.912M
策略模型总参数量：63.912 M
Model Params: 63.91M
Trainable Params: 63.912M
参考模型总参数量：63.912 M
Epoch:[1/2](4150/4292), loss: 0.4148, dpo_loss: 0.4148, aux_loss: 0.0000, learning_rate: 0.00000029, epoch_time: 0.000min
Epoch:[1/2](4200/4292), loss: 1.3111, dpo_loss: 1.3111, aux_loss: 0.0000, learning_rate: 0.00000028, epoch_time: 0.000min
Epoch:[1/2](4250/4292), loss: 0.3429, dpo_loss: 0.3429, aux_loss: 0.0000, learning_rate: 0.00000028, epoch_time: 0.000min
Epoch:[1/2](4292/4292), loss: 0.0729, dpo_loss: 0.0729, aux_loss: 0.0000, learning_rate: 0.00000028, epoch_time: 0.000min
Epoch:[2/2](50/4292), loss: 0.0690, dpo_loss: 0.0690, aux_loss: 0.0000, learning_rate: 0.00000027, epoch_time: 6.000min
Epoch:[2/2](100/4292), loss: 0.2091, dpo_loss: 0.2091, aux_loss: 0.0000, learning_rate: 0.00000027, epoch_time: 6.000min
Epoch:[2/2](150/4292), loss: 0.0267, dpo_loss: 0.0267, aux_loss: 0.0000, learning_rate: 0.00000026, epoch_time: 5.000min
Epoch:[2/2](200/4292), loss: 0.0604, dpo_loss: 0.0604, aux_loss: 0.0000, learning_rate: 0.00000026, epoch_time: 5.000min
Epoch:[2/2](250/4292), loss: 0.0684, dpo_loss: 0.0684, aux_loss: 0.0000, learning_rate: 0.00000025, epoch_time: 5.000min
Epoch:[2/2](300/4292), loss: 0.2186, dpo_loss: 0.2186, aux_loss: 0.0000, learning_rate: 0.00000025, epoch_time: 5.000min
Epoch:[2/2](350/4292), loss: 0.0652, dpo_loss: 0.0652, aux_loss: 0.0000, learning_rate: 0.00000025, epoch_time: 5.000min
Epoch:[2/2](400/4292), loss: 0.2858, dpo_loss: 0.2858, aux_loss: 0.0000, learning_rate: 0.00000024, epoch_time: 5.000min
Epoch:[2/2](450/4292), loss: 0.1178, dpo_loss: 0.1178, aux_loss: 0.0000, learning_rate: 0.00000024, epoch_time: 5.000min
Epoch:[2/2](500/4292), loss: 0.1465, dpo_loss: 0.1465, aux_loss: 0.0000, learning_rate: 0.00000023, epoch_time: 5.000min
Epoch:[2/2](550/4292), loss: 0.0480, dpo_loss: 0.0480, aux_loss: 0.0000, learning_rate: 0.00000023, epoch_time: 5.000min
Epoch:[2/2](600/4292), loss: 0.2254, dpo_loss: 0.2254, aux_loss: 0.0000, learning_rate: 0.00000023, epoch_time: 5.000min
Epoch:[2/2](650/4292), loss: 0.2317, dpo_loss: 0.2317, aux_loss: 0.0000, learning_rate: 0.00000022, epoch_time: 4.000min
Epoch:[2/2](700/4292), loss: 0.2150, dpo_loss: 0.2150, aux_loss: 0.0000, learning_rate: 0.00000022, epoch_time: 4.000min
Epoch:[2/2](750/4292), loss: 0.0941, dpo_loss: 0.0941, aux_loss: 0.0000, learning_rate: 0.00000021, epoch_time: 4.000min
Epoch:[2/2](800/4292), loss: 0.1854, dpo_loss: 0.1854, aux_loss: 0.0000, learning_rate: 0.00000021, epoch_time: 4.000min
Epoch:[2/2](850/4292), loss: 0.1073, dpo_loss: 0.1073, aux_loss: 0.0000, learning_rate: 0.00000021, epoch_time: 4.000min
Epoch:[2/2](900/4292), loss: 0.0684, dpo_loss: 0.0684, aux_loss: 0.0000, learning_rate: 0.00000020, epoch_time: 4.000min
Epoch:[2/2](950/4292), loss: 0.1304, dpo_loss: 0.1304, aux_loss: 0.0000, learning_rate: 0.00000020, epoch_time: 4.000min
Epoch:[2/2](1000/4292), loss: 0.0258, dpo_loss: 0.0258, aux_loss: 0.0000, learning_rate: 0.00000019, epoch_time: 4.000min
Epoch:[2/2](1050/4292), loss: 0.4894, dpo_loss: 0.4894, aux_loss: 0.0000, learning_rate: 0.00000019, epoch_time: 4.000min
Epoch:[2/2](1100/4292), loss: 0.1143, dpo_loss: 0.1143, aux_loss: 0.0000, learning_rate: 0.00000019, epoch_time: 4.000min
Epoch:[2/2](1150/4292), loss: 0.1226, dpo_loss: 0.1226, aux_loss: 0.0000, learning_rate: 0.00000018, epoch_time: 4.000min
Epoch:[2/2](1200/4292), loss: 0.0185, dpo_loss: 0.0185, aux_loss: 0.0000, learning_rate: 0.00000018, epoch_time: 4.000min
Epoch:[2/2](1250/4292), loss: 0.2608, dpo_loss: 0.2608, aux_loss: 0.0000, learning_rate: 0.00000018, epoch_time: 4.000min
Epoch:[2/2](1300/4292), loss: 0.0303, dpo_loss: 0.0303, aux_loss: 0.0000, learning_rate: 0.00000017, epoch_time: 4.000min
Epoch:[2/2](1350/4292), loss: 0.0850, dpo_loss: 0.0850, aux_loss: 0.0000, learning_rate: 0.00000017, epoch_time: 4.000min
